Domain,Area,Element,Item,Year,Unit,Value
"Emissions intensities","Brazil","Production","Meat, cattle","2011","tonnes","9030000"
"Emissions intensities","Brazil","Production","Meat, cattle","2012","tonnes","9307000"
"Emissions intensities","Brazil","Production","Meat, cattle","2013","tonnes","9675000"
"Emissions intensities","Brazil","Production","Meat, cattle","2014","tonnes","9723000"
"Emissions intensities","Brazil","Production","Meat, cattle","2015","tonnes","9425000"
"Emissions intensities","Brazil","Production","Meat, cattle","2016","tonnes","9284000"
"Emissions intensities","Brazil","Production","Meat, cattle","2017","tonnes","9550000"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1961","tonnes","5227380"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1962","tonnes","5459591"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1963","tonnes","5550272"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1964","tonnes","6340177"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1965","tonnes","6774857"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1966","tonnes","6889152"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1967","tonnes","6904546"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1968","tonnes","7235182"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1969","tonnes","7252707"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1970","tonnes","7353143"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1971","tonnes","7346000"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1972","tonnes","7323000"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1973","tonnes","7763000"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1974","tonnes","9022000"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1975","tonnes","9970500"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1976","tonnes","10666700"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1977","tonnes","9862172"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1978","tonnes","10085416"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1979","tonnes","10503032"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1980","tonnes","11955761"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1981","tonnes","11675010"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1982","tonnes","11816513"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1983","tonnes","11818372"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1984","tonnes","12302828"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1985","tonnes","12452830"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1986","tonnes","12879055"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1987","tonnes","13399388"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1988","tonnes","13941059"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1989","tonnes","14531798"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1990","tonnes","14933430"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1991","tonnes","15546642"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1992","tonnes","16273320"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1993","tonnes","16074200"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1994","tonnes","16272800"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1995","tonnes","16985100"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1996","tonnes","19089400"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1997","tonnes","19244656"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1998","tonnes","19273424"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","1999","tonnes","19661220"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2000","tonnes","20379988"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2001","tonnes","21145800"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2002","tonnes","22314700"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2003","tonnes","22943732"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2004","tonnes","24202408"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2005","tonnes","25384106"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2006","tonnes","26185564"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2007","tonnes","26137266"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2008","tonnes","28440492"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2009","tonnes","29085496"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2010","tonnes","30715460"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2011","tonnes","32096214"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2012","tonnes","32304421"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2013","tonnes","34255236"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2014","tonnes","35124360"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2015","tonnes","34609588"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2016","tonnes","33656162"
"Emissions intensities","Brazil","Production","Milk, whole fresh cow","2017","tonnes","33490810"
"Emissions intensities","China","Production","Meat, cattle","1961","tonnes","59363"
"Emissions intensities","China","Production","Meat, cattle","1962","tonnes","84348"
"Emissions intensities","China","Production","Meat, cattle","1963","tonnes","104178"
"Emissions intensities","China","Production","Meat, cattle","1964","tonnes","118708"
"Emissions intensities","China","Production","Meat, cattle","1965","tonnes","133427"
"Emissions intensities","China","Production","Meat, cattle","1966","tonnes","143533"
"Emissions intensities","China","Production","Meat, cattle","1967","tonnes","145950"
"Emissions intensities","China","Production","Meat, cattle","1968","tonnes","147884"
"Emissions intensities","China","Production","Meat, cattle","1969","tonnes","153843"
"Emissions intensities","China","Production","Meat, cattle","1970","tonnes","154972"
"Emissions intensities","China","Production","Meat, cattle","1971","tonnes","167383"
"Emissions intensities","China","Production","Meat, cattle","1972","tonnes","180987"
"Emissions intensities","China","Production","Meat, cattle","1973","tonnes","195212"
"Emissions intensities","China","Production","Meat, cattle","1974","tonnes","202921"
"Emissions intensities","China","Production","Meat, cattle","1975","tonnes","213215"
"Emissions intensities","China","Production","Meat, cattle","1976","tonnes","207891"
"Emissions intensities","China","Production","Meat, cattle","1977","tonnes","219053"
"Emissions intensities","China","Production","Meat, cattle","1978","tonnes","220327"
"Emissions intensities","China","Production","Meat, cattle","1979","tonnes","246126"
"Emissions intensities","China","Production","Meat, cattle","1980","tonnes","272702"
"Emissions intensities","China","Production","Meat, cattle","1981","tonnes","272848"
"Emissions intensities","China","Production","Meat, cattle","1982","tonnes","279049"
"Emissions intensities","China","Production","Meat, cattle","1983","tonnes","300326"
"Emissions intensities","China","Production","Meat, cattle","1984","tonnes","340597"
"Emissions intensities","China","Production","Meat, cattle","1985","tonnes","385804"
"Emissions intensities","China","Production","Meat, cattle","1986","tonnes","492544"
"Emissions intensities","China","Production","Meat, cattle","1987","tonnes","691568"
"Emissions intensities","China","Production","Meat, cattle","1988","tonnes","799669"
"Emissions intensities","China","Production","Meat, cattle","1989","tonnes","953194"
"Emissions intensities","China","Production","Meat, cattle","1990","tonnes","1121789"
"Emissions intensities","China","Production","Meat, cattle","1991","tonnes","1356690"
"Emissions intensities","China","Production","Meat, cattle","1992","tonnes","1589862"
"Emissions intensities","China","Production","Meat, cattle","1993","tonnes","1992436"
"Emissions intensities","China","Production","Meat, cattle","1994","tonnes","2148828"
"Emissions intensities","China","Production","Meat, cattle","1995","tonnes","2602028"
"Emissions intensities","China","Production","Meat, cattle","1996","tonnes","3002649"
"Emissions intensities","China","Production","Meat, cattle","1997","tonnes","3650313"
"Emissions intensities","China","Production","Meat, cattle","1998","tonnes","4037586"
"Emissions intensities","China","Production","Meat, cattle","1999","tonnes","4243457"
"Emissions intensities","China","Production","Meat, cattle","2000","tonnes","4651944"
"Emissions intensities","China","Production","Meat, cattle","2001","tonnes","4729195"
"Emissions intensities","China","Production","Meat, cattle","2002","tonnes","4853389"
"Emissions intensities","China","Production","Meat, cattle","2003","tonnes","5140601"
"Emissions intensities","China","Production","Meat, cattle","2004","tonnes","5295249"
"Emissions intensities","China","Production","Meat, cattle","2005","tonnes","5356644"
"Emissions intensities","China","Production","Meat, cattle","2006","tonnes","5499440"
"Emissions intensities","China","Production","Meat, cattle","2007","tonnes","5845638"
"Emissions intensities","China","Production","Meat, cattle","2008","tonnes","5840656"
"Emissions intensities","China","Production","Meat, cattle","2009","tonnes","6060069"
"Emissions intensities","China","Production","Meat, cattle","2010","tonnes","6243716"
"Emissions intensities","China","Production","Meat, cattle","2011","tonnes","6182155"
"Emissions intensities","China","Production","Meat, cattle","2012","tonnes","6306350"
"Emissions intensities","China","Production","Meat, cattle","2013","tonnes","6410450"
"Emissions intensities","China","Production","Meat, cattle","2014","tonnes","6566674"
"Emissions intensities","China","Production","Meat, cattle","2015","tonnes","6670031"
"Emissions intensities","China","Production","Meat, cattle","2016","tonnes","6822810"
"Emissions intensities","China","Production","Meat, cattle","2017","tonnes","6911741"
"Emissions intensities","China","Production","Milk, whole fresh cow","1961","tonnes","612001"
"Emissions intensities","China","Production","Milk, whole fresh cow","1962","tonnes","630595"
"Emissions intensities","China","Production","Milk, whole fresh cow","1963","tonnes","647896"
"Emissions intensities","China","Production","Milk, whole fresh cow","1964","tonnes","656889"
"Emissions intensities","China","Production","Milk, whole fresh cow","1965","tonnes","664898"
"Emissions intensities","China","Production","Milk, whole fresh cow","1966","tonnes","650095"
"Emissions intensities","China","Production","Milk, whole fresh cow","1967","tonnes","630129"
"Emissions intensities","China","Production","Milk, whole fresh cow","1968","tonnes","601480"
"Emissions intensities","China","Production","Milk, whole fresh cow","1969","tonnes","621481"
"Emissions intensities","China","Production","Milk, whole fresh cow","1970","tonnes","662853"
"Emissions intensities","China","Production","Milk, whole fresh cow","1971","tonnes","704603"
"Emissions intensities","China","Production","Milk, whole fresh cow","1972","tonnes","754633"
"Emissions intensities","China","Production","Milk, whole fresh cow","1973","tonnes","813440"
"Emissions intensities","China","Production","Milk, whole fresh cow","1974","tonnes","847095"
"Emissions intensities","China","Production","Milk, whole fresh cow","1975","tonnes","890838"
"Emissions intensities","China","Production","Milk, whole fresh cow","1976","tonnes","919893"
"Emissions intensities","China","Production","Milk, whole fresh cow","1977","tonnes","950245"
"Emissions intensities","China","Production","Milk, whole fresh cow","1978","tonnes","1148602"
"Emissions intensities","China","Production","Milk, whole fresh cow","1979","tonnes","903228"
"Emissions intensities","China","Production","Milk, whole fresh cow","1980","tonnes","1193020"
"Emissions intensities","China","Production","Milk, whole fresh cow","1981","tonnes","1345624"
"Emissions intensities","China","Production","Milk, whole fresh cow","1982","tonnes","1678969"
"Emissions intensities","China","Production","Milk, whole fresh cow","1983","tonnes","1907232"
"Emissions intensities","China","Production","Milk, whole fresh cow","1984","tonnes","2256609"
"Emissions intensities","China","Production","Milk, whole fresh cow","1985","tonnes","2589879"
"Emissions intensities","China","Production","Milk, whole fresh cow","1986","tonnes","3011123"
"Emissions intensities","China","Production","Milk, whole fresh cow","1987","tonnes","3447590"
"Emissions intensities","China","Production","Milk, whole fresh cow","1988","tonnes","3835424"
"Emissions intensities","China","Production","Milk, whole fresh cow","1989","tonnes","3997268"
"Emissions intensities","China","Production","Milk, whole fresh cow","1990","tonnes","4362638"
"Emissions intensities","China","Production","Milk, whole fresh cow","1991","tonnes","4874306"
"Emissions intensities","China","Production","Milk, whole fresh cow","1992","tonnes","5278252"
"Emissions intensities","China","Production","Milk, whole fresh cow","1993","tonnes","5264996"
"Emissions intensities","China","Production","Milk, whole fresh cow","1994","tonnes","5577944"
"Emissions intensities","China","Production","Milk, whole fresh cow","1995","tonnes","6082213"
"Emissions intensities","China","Production","Milk, whole fresh cow","1996","tonnes","6610366"
"Emissions intensities","China","Production","Milk, whole fresh cow","1997","tonnes","6341684"
"Emissions intensities","China","Production","Milk, whole fresh cow","1998","tonnes","6959614"
"Emissions intensities","China","Production","Milk, whole fresh cow","1999","tonnes","7514185"
"Emissions intensities","China","Production","Milk, whole fresh cow","2000","tonnes","8632308"
"Emissions intensities","China","Production","Milk, whole fresh cow","2001","tonnes","10601189"
"Emissions intensities","China","Production","Milk, whole fresh cow","2002","tonnes","13355933"
"Emissions intensities","China","Production","Milk, whole fresh cow","2003","tonnes","17817517"
"Emissions intensities","China","Production","Milk, whole fresh cow","2004","tonnes","22928777"
"Emissions intensities","China","Production","Milk, whole fresh cow","2005","tonnes","27837329"
"Emissions intensities","China","Production","Milk, whole fresh cow","2006","tonnes","32257300"
"Emissions intensities","China","Production","Milk, whole fresh cow","2007","tonnes","35574326"
"Emissions intensities","China","Production","Milk, whole fresh cow","2008","tonnes","35873831"
"Emissions intensities","China","Production","Milk, whole fresh cow","2009","tonnes","35509808"
"Emissions intensities","China","Production","Milk, whole fresh cow","2010","tonnes","36092096"
"Emissions intensities","China","Production","Milk, whole fresh cow","2011","tonnes","36929454"
"Emissions intensities","China","Production","Milk, whole fresh cow","2012","tonnes","37784549"
"Emissions intensities","China","Production","Milk, whole fresh cow","2013","tonnes","35672406"
"Emissions intensities","China","Production","Milk, whole fresh cow","2014","tonnes","37609605"
"Emissions intensities","China","Production","Milk, whole fresh cow","2015","tonnes","32173559"
"Emissions intensities","China","Production","Milk, whole fresh cow","2016","tonnes","31018548"
"Emissions intensities","China","Production","Milk, whole fresh cow","2017","tonnes","30772422"
"Emissions intensities","Ireland","Production","Meat, cattle","1961","tonnes","144539"
"Emissions intensities","Ireland","Production","Meat, cattle","1962","tonnes","125689"
"Emissions intensities","Ireland","Production","Meat, cattle","1963","tonnes","129513"
"Emissions intensities","Ireland","Production","Meat, cattle","1964","tonnes","112798"
"Emissions intensities","Ireland","Production","Meat, cattle","1965","tonnes","112943"
"Emissions intensities","Ireland","Production","Meat, cattle","1966","tonnes","135257"
"Emissions intensities","Ireland","Production","Meat, cattle","1967","tonnes","222957"
"Emissions intensities","Ireland","Production","Meat, cattle","1968","tonnes","192949"
"Emissions intensities","Ireland","Production","Meat, cattle","1969","tonnes","197955"
"Emissions intensities","Ireland","Production","Meat, cattle","1970","tonnes","216339"
"Emissions intensities","Ireland","Production","Meat, cattle","1971","tonnes","236040"
"Emissions intensities","Ireland","Production","Meat, cattle","1972","tonnes","204507"
"Emissions intensities","Ireland","Production","Meat, cattle","1973","tonnes","207300"
"Emissions intensities","Ireland","Production","Meat, cattle","1974","tonnes","342000"
"Emissions intensities","Ireland","Production","Meat, cattle","1975","tonnes","420000"
"Emissions intensities","Ireland","Production","Meat, cattle","1976","tonnes","328000"
"Emissions intensities","Ireland","Production","Meat, cattle","1977","tonnes","384800"
"Emissions intensities","Ireland","Production","Meat, cattle","1978","tonnes","388700"
"Emissions intensities","Ireland","Production","Meat, cattle","1979","tonnes","387900"
"Emissions intensities","Ireland","Production","Meat, cattle","1980","tonnes","446400"
"Emissions intensities","Ireland","Production","Meat, cattle","1981","tonnes","316300"
"Emissions intensities","Ireland","Production","Meat, cattle","1982","tonnes","344900"
"Emissions intensities","Ireland","Production","Meat, cattle","1983","tonnes","353000"
"Emissions intensities","Ireland","Production","Meat, cattle","1984","tonnes","402281"
"Emissions intensities","Ireland","Production","Meat, cattle","1985","tonnes","448226"
"Emissions intensities","Ireland","Production","Meat, cattle","1986","tonnes","509443"
"Emissions intensities","Ireland","Production","Meat, cattle","1987","tonnes","483620"
"Emissions intensities","Ireland","Production","Meat, cattle","1988","tonnes","459100"
"Emissions intensities","Ireland","Production","Meat, cattle","1989","tonnes","432400"
"Emissions intensities","Ireland","Production","Meat, cattle","1990","tonnes","515000"
"Emissions intensities","Ireland","Production","Meat, cattle","1991","tonnes","557100"
"Emissions intensities","Ireland","Production","Meat, cattle","1992","tonnes","568200"
"Emissions intensities","Ireland","Production","Meat, cattle","1993","tonnes","528500"
"Emissions intensities","Ireland","Production","Meat, cattle","1994","tonnes","447800"
"Emissions intensities","Ireland","Production","Meat, cattle","1995","tonnes","481100"
"Emissions intensities","Ireland","Production","Meat, cattle","1996","tonnes","538400"
"Emissions intensities","Ireland","Production","Meat, cattle","1997","tonnes","569500"
"Emissions intensities","Ireland","Production","Meat, cattle","1998","tonnes","594800"
"Emissions intensities","Ireland","Production","Meat, cattle","1999","tonnes","643800"
"Emissions intensities","Ireland","Production","Meat, cattle","2000","tonnes","576900"
"Emissions intensities","Ireland","Production","Meat, cattle","2001","tonnes","579400"
"Emissions intensities","Ireland","Production","Meat, cattle","2002","tonnes","540000"
"Emissions intensities","Ireland","Production","Meat, cattle","2003","tonnes","568000"
"Emissions intensities","Ireland","Production","Meat, cattle","2004","tonnes","563600"
"Emissions intensities","Ireland","Production","Meat, cattle","2005","tonnes","546000"
"Emissions intensities","Ireland","Production","Meat, cattle","2006","tonnes","537300"
"Emissions intensities","Ireland","Production","Meat, cattle","2007","tonnes","580800"
"Emissions intensities","Ireland","Production","Meat, cattle","2008","tonnes","537300"
"Emissions intensities","Ireland","Production","Meat, cattle","2009","tonnes","514500"
"Emissions intensities","Ireland","Production","Meat, cattle","2010","tonnes","559100"
"Emissions intensities","Ireland","Production","Meat, cattle","2011","tonnes","547100"
"Emissions intensities","Ireland","Production","Meat, cattle","2012","tonnes","495400"
"Emissions intensities","Ireland","Production","Meat, cattle","2013","tonnes","517600"
"Emissions intensities","Ireland","Production","Meat, cattle","2014","tonnes","582100"
"Emissions intensities","Ireland","Production","Meat, cattle","2015","tonnes","564100"
"Emissions intensities","Ireland","Production","Meat, cattle","2016","tonnes","588400"
"Emissions intensities","Ireland","Production","Meat, cattle","2017","tonnes","617000"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1961","tonnes","2356000"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1962","tonnes","2450800"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1963","tonnes","2461100"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1964","tonnes","2548300"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1965","tonnes","2637800"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1966","tonnes","2716600"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1967","tonnes","2951400"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1968","tonnes","3148700"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1969","tonnes","3145000"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1970","tonnes","3075600"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1971","tonnes","3161400"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1972","tonnes","3318900"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1973","tonnes","3475500"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1974","tonnes","3340000"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1975","tonnes","3593000"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1976","tonnes","3862700"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1977","tonnes","4157200"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1978","tonnes","4697000"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1979","tonnes","4788200"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1980","tonnes","4717400"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1981","tonnes","4682800"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1982","tonnes","5105600"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1983","tonnes","5498300"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1984","tonnes","5736500"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1985","tonnes","5830300"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1986","tonnes","5621000"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1987","tonnes","5528200"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1988","tonnes","5330300"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1989","tonnes","5381800"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1990","tonnes","5402400"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1991","tonnes","5281800"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1992","tonnes","5326100"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1993","tonnes","5267400"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1994","tonnes","5336500"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1995","tonnes","5346800"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1996","tonnes","5297100"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1997","tonnes","5256300"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1998","tonnes","5091200"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","1999","tonnes","5121100"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2000","tonnes","5159788"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2001","tonnes","5381800"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2002","tonnes","5368000"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2003","tonnes","5310140"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2004","tonnes","5267880"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2005","tonnes","5061250"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2006","tonnes","5224390"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2007","tonnes","5224770"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2008","tonnes","5089960"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2009","tonnes","5228300"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2010","tonnes","5327000"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2011","tonnes","5536680"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2012","tonnes","5387770"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2013","tonnes","5583670"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2014","tonnes","5816220"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2015","tonnes","6585120"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2016","tonnes","6851430"
"Emissions intensities","Ireland","Production","Milk, whole fresh cow","2017","tonnes","7478160"
"Emissions intensities","United States of America","Production","Meat, cattle","1961","tonnes","7425722"
"Emissions intensities","United States of America","Production","Meat, cattle","1962","tonnes","7411207"
"Emissions intensities","United States of America","Production","Meat, cattle","1963","tonnes","7885662"
"Emissions intensities","United States of America","Production","Meat, cattle","1964","tonnes","8830944"
"Emissions intensities","United States of America","Production","Meat, cattle","1965","tonnes","8957042"
"Emissions intensities","United States of America","Production","Meat, cattle","1966","tonnes","9360283"
"Emissions intensities","United States of America","Production","Meat, cattle","1967","tonnes","9530379"
"Emissions intensities","United States of America","Production","Meat, cattle","1968","tonnes","9789000"
"Emissions intensities","United States of America","Production","Meat, cattle","1969","tonnes","9888000"
"Emissions intensities","United States of America","Production","Meat, cattle","1970","tonnes","10102810"
"Emissions intensities","United States of America","Production","Meat, cattle","1971","tonnes","10182188"
"Emissions intensities","United States of America","Production","Meat, cattle","1972","tonnes","10374057"
"Emissions intensities","United States of America","Production","Meat, cattle","1973","tonnes","9812966"
"Emissions intensities","United States of America","Production","Meat, cattle","1974","tonnes","10715610"
"Emissions intensities","United States of America","Production","Meat, cattle","1975","tonnes","11271258"
"Emissions intensities","United States of America","Production","Meat, cattle","1976","tonnes","12166191"
"Emissions intensities","United States of America","Production","Meat, cattle","1977","tonnes","11844596"
"Emissions intensities","United States of America","Production","Meat, cattle","1978","tonnes","11281690"
